STATE,POP,MILES_TRAV,CRASH_F,DEATHS,DEATHS_POP,DEATHS_MILES
Alabama,4833722,64914,766,852,17.6,1.31
Alaska,735132,4593,49,51,6.9,1.11
Arizona,6626624,59574,782,849,12.8,1.43
Arkansas,2959373,32953,446,483,16.3,1.47
California,38332521,320784,2772,3000,7.8,0.94
Colorado,5268367,46606,431,481,9.1,1.03
Connecticut,3596080,31197,255,276,7.7,0.88
Delaware,925749,9028,94,99,10.7,1.1
Washington D.C.,646449,3568,20,20,31,0.56
Florida,19552860,191855,2228,2407,12.3,1.25
Georgia,9992167,108454,1085,1179,11.8,1.09
Hawaii,1404054,10066,93,102,7.3,1.01
Idaho,1612136,15937,200,214,13.3,1.34
Illinois,12822135,103234,895,991,7.7,0.96
Indiana,6570902,76485,709,783,11.9,1.02
Iowa,3090416,31274,290,317,10.3,1.01
Kansas,2893957,30021,327,350,12.1,1.17
Kentucky,4395295,48061,590,638,14.5,1.33
Louisiana,4625470,46513,651,703,15.2,1.51
Maine,1328302,14248,137,145,10.9,1.02
Maryland,5928814,56221,431,465,7.8,0.83
Massachusetts,6692824,54792,309,326,4.9,0.59
Michigan,9895622,94754,876,947,9.6,1
Minnesota,5420380,56685,357,387,7.1,0.68
Mississippi,2991207,38851,558,613,20.5,1.58
Missouri,6044171,68789,683,757,12.5,1.1
Montana,1015165,11660,203,229,22.6,1.96
Nebraska,1868516,19093,190,211,11.3,1.11
Nevada,2790136,24189,242,262,0.4,1.08
New Hampshire,1323459,12720,124,135,10.2,1.06
New Jersey,8899339,73094,508,542,6.1,0.74
New Mexico,2085287,25533,274,310,14.9,1.21
New York,19651127,127726,1121,1199,6.1,0.94
North Carolina,9848060,103722,1188,1289,13.1,1.24
North Dakota,723393,9131,133,148,20.5,1.62
Ohio,11570808,111990,917,989,8.5,0.88
Oklahoma,3850568,47464,621,678,17.6,1.43
Oregon,3930065,33373,292,313,8,0.94
Pennsylvania,12773801,99204,1117,1208,9.5,1.22
Rhode Island,1051511,7901,62,65,6.2,0.82
South Carolina,4774839,48730,719,767,16.1,1.57
South Dakota,844877,9002,121,135,16,1.5
Tennessee,6495978,70751,911,995,15.3,1.41
Texas,26448193,237440,3044,3382,12.8,1.42
Utah,2900872,26222,202,220,7.6,0.84
Vermont,626630,7141,63,69,11,0.97
Virginia,8260405,80974,682,740,9,0.91
Washington,6971406,56995,402,436,6.3,0.77
West Virginia,1854304,18963,305,332,17.9,1.75
Wisconsin,5742713,54402,507,543,9.5,1
Wyoming,582658,9245,75,87,14.9,0.94
TOTAL,316128839,2946132,30057,32719,10.3,1.11
